,Задолженность,Ключ. ставка,Инфляция,Ставка,Срок,Средняя ЗП,Средняя сумма кредита,Средняя цена жилья
Январь 2019,6634362,7.75,5.0,9.88,206.9,49589.77034722223,2.1510967996644212,67223.0
Февраль 2019,6747958,7.75,5.2,10.16,210.9,49589.77034722223,2.2061096902529127,68072.0
Март 2019,6851944,7.75,5.3,10.42,212.6,49589.77034722223,2.2248923890593937,68921.0
Апрель 2019,6966595,7.75,5.2,10.56,214.1,49589.77034722223,2.232299059998731,69353.0
Май 2019,7040227,7.75,5.1,10.54,214.2,49589.77034722223,2.213583073506909,69785.0
Июнь 2019,7117413,7.5,4.7,10.3,215.2,49589.77034722223,2.229642959388164,70218.0
Июль 2019,7131892,7.25,4.6,10.23,215.0,49589.77034722223,2.2104551512144823,70647.0
Август 2019,7241983,7.25,4.3,9.9,215.7,49589.77034722223,2.2039474283424263,71077.0
Сентябрь 2019,7354700,7.0,4.0,9.67,216.2,49589.77034722223,2.2346859466787166,71506.0
Октябрь 2019,7384738,6.5,3.8,9.41,216.6,49589.77034722223,2.278615041674743,71719.0
Ноябрь 2019,7523413,6.5,3.5,9.22,215.7,49589.77034722223,2.3142304378221072,71932.0
Декабрь 2019,7635233,6.25,3.0,9.05,215.1,47419.82833333333,2.3629560097826987,72145.0
Январь 2020,7691709,6.25,2.4,8.85,216.7,47787.4,2.402574387834521,73461.0
Февраль 2020,7818153,6.0,2.3,8.73,218.3,48136.911666666674,2.4493076996255265,74776.0
Март 2020,7943382,6.0,2.5,8.68,217.4,48522.18833333333,2.4783781144604107,76092.0
Апрель 2020,8008025,5.5,3.1,8.42,216.5,48628.53833333333,2.2369347275096714,76425.0
Май 2020,8079780,5.5,3.0,7.56,213.6,48863.56666666667,2.3102363388418214,76758.0
Июнь 2020,8194510,4.5,3.2,7.64,214.9,49094.83583333334,2.3696234019774547,77091.0
Июль 2020,8374341,4.25,3.4,7.38,217.7,49397.8125,2.467137568450009,78152.0
Август 2020,8577360,4.25,3.6,7.26,218.4,49621.74249999999,2.52732530473297,79214.0
Сентябрь 2020,8841775,4.25,3.7,7.32,219.7,49931.55666666667,2.5390823509285676,80275.0
Октябрь 2020,9124657,4.25,4.0,7.31,221.7,50180.68166666667,2.5751694639803664,81070.0
Ноябрь 2020,9152675,4.25,4.4,7.38,223.0,50429.82833333333,2.609836448226288,81865.0
Декабрь 2020,9292031,4.25,4.9,7.36,225.1,51016.36416666667,2.6501815053600803,82660.0
Январь 2021,9376452,4.25,5.2,7.23,227.7,51253.2175,2.733396424815983,84642.0
Февраль 2021,9560962,4.25,5.7,7.26,229.8,51584.24166666667,2.786243904457764,86624.0
Март 2021,9791979,4.5,5.8,7.23,233.8,51939.25833333333,2.8161616501883637,88605.0
Апрель 2021,10071434,5.0,5.5,7.3,237.9,52548.25,2.880240928609489,90102.0
Май 2021,10283733,5.0,6.0,7.3,240.4,53000.31666666667,2.9240219851277076,91598.0
Июнь 2021,10576222,5.5,6.5,7.07,243.9,53555.200000000004,3.052148612354521,93095.0
Июль 2021,10782019,6.5,6.5,7.67,242.9,53973.92500000001,2.8617968326927397,94287.0
Август 2021,10968749,6.5,6.68,7.78,244.6,54366.14166666667,2.913510000530532,95478.0
Сентябрь 2021,11208347,6.75,7.4,7.73,246.8,54818.50833333333,3.027022057658046,96670.0
Октябрь 2021,11433941,7.5,8.13,7.7,250.9,55244.38333333333,3.0997008356821443,98101.0
Ноябрь 2021,11455360,7.5,8.4,7.59,254.2,55774.80833333334,3.240965766680415,99533.0
Декабрь 2021,11765807,8.5,8.39,7.81,257.1,56501.19166666667,3.334468062990489,100965.0
Январь 2022,11903853,8.5,8.73,7.87,262.2,57017.916666666664,3.44339980206776,105445.0
Февраль 2022,12175992,20.0,9.15,8.1,264.5,57527.48333333333,3.517458702815064,109925.0
Март 2022,12447133,20.0,16.69,8.05,266.1,58489.958333333336,3.2041581165599697,114405.0
Апрель 2022,12436289,17.0,17.83,7.64,263.4,58961.208333333336,3.279779627716676,116512.0
Май 2022,12424644,11.0,17.1,6.17,272.3,59484.99999999999,3.829904652624102,118619.0
Июнь 2022,12514054,9.5,15.9,6.36,269.9,60134.208333333336,3.8784975320527515,120726.0
Июль 2022,12686975,8.0,15.1,6.67,274.8,60720.033333333326,3.732320255016266,121566.0
Август 2022,12798727,8.0,14.3,6.67,277.8,61349.333333333336,3.7599205697968294,122407.0
Сентябрь 2022,13098567,7.5,13.68,6.71,281.3,61948.63333333333,3.7948740473941975,123247.0
Октябрь 2022,13326562,7.5,12.63,7.38,279.7,62600.39166666666,3.5224367028962744,123630.0
Ноябрь 2022,13533292,7.5,11.98,7.11,283.5,63218.79166666666,3.6561682438884273,124013.0
Декабрь 2022,13848612,7.5,11.94,6.65,289.4,64091.63333333333,3.956101380449029,124397.0
Январь 2023,13930343,7.5,11.77,7.86,284.9,64720.24166666667,3.644388104877828,124397.0
Февраль 2023,14147170,7.5,10.99,8.05,287.5,65366.083333333336,3.6858361536582813,124397.0
Март 2023,14447971,7.5,3.51,8.18,287.4,65747.5,3.6993713632585203,124397.0
Апрель 2023,14755312,7.5,2.31,8.52,286.2,66492.05833333333,3.69405189672825,124397.0
Май 2023,15087428,7.5,2.51,8.4,288.9,67358.25833333333,3.6785055847340047,124397.0
Июнь 2023,15451210,7.5,3.25,8.45,288.8,68194.25833333333,3.7362455979358713,124397.0
Июль 2023,15655105,8.5,4.3,8.25,291.1,68962.56666666667,3.792562361467825,124397.0
Август 2023,16237499,12.0,5.15,8.04,294.0,69756.94166666667,3.930602157604143,124397.0
Сентябрь 2023,16906304,13.0,6.0,7.92,298.7,70510.50833333333,4.0107641993811844,124397.0
Октябрь 2023,17399539,15.0,6.69,8.35,296.3,71457.125,3.8423319558403706,124397.0
Ноябрь 2023,17728848,15.0,7.48,8.18,299.3,72317.35833333334,3.841271604154767,124397.0
Декабрь 2023,18017344,16.0,7.42,7.91,302.3,73596.24166666667,3.9904301359286425,124397.0
Январь 2024,18147227,16.0,7.44,8.4,294.8,74577.34166666666,3.5817547095244366,124397.0
Февраль 2024,18227803,16.0,7.69,9.28,292.1,75688.86666666667,3.485208400916692,124397.0
Март 2024,18455848,16.0,7.72,8.41,299.6,77055.96666666666,3.8240747861604585,124397.0
Апрель 2024,18608860,16.0,7.84,8.41,298.3,78111.90000000001,3.7811021577362838,124397.0
Май 2024,18769726,16.0,8.3,8.06,303.7,79239.60833333334,3.7217356335157756,124397.0
Июнь 2024,19287630,16.0,8.59,7.57,310.2,80284.66666666667,3.8975228174554153,124397.0
Июль 2024,19214263,18.0,9.13,10.19,289.5,81417.75833333335,3.3236776288775243,124397.0
Август 2024,19292313,18.0,9.05,9.32,298.3,82482.68333333333,3.7470985397814665,124397.0
Сентябрь 2024,19234295,19.0,8.63,8.94,302.8,83599.58333333333,3.9524632212659516,124397.0
Октябрь 2024,19113590,21.0,8.54,9.65,299.3,84662.3,3.8677396928392356,124397.0
Ноябрь 2024,19125892,21.0,8.88,9.01,302.2,85746.99166666667,3.795519601742377,124397.0
Декабрь 2024,19201816,21.0,9.52,8.47,303.7,87817.86666666665,3.9891227304945205,124397.0
Январь 2025,19093185,21.0,9.92,8.35,305.5,88980.11666666665,3.932216510806961,124397.0
Февраль 2025,19152488,21.0,10.06,7.7,309.8,89914.58333333333,4.322884370304148,124397.0
Март 2025,19226988,21.0,10.34,7.56,310.7,90740.05,4.450096865702622,124397.0
Апрель 2025,19344513,21.0,10.23,7.52,308.3,91865.06666666667,4.451469033058991,124397.0
Май 2025,19466421,21.0,9.88,7.47,308.6,92951.59999999999,4.544869666935394,124397.0
Июнь 2025,19543125,20.0,9.4,7.47,308.0,94121.45,4.499759807846277,124397.0
